number of item,datepub of item,title of item,link of item
1,"Sun, 30 Jan 2022 16:20:39 +0300",Жители гагаузской автономии Молдавии потребовали отставки властей,https://ria.ru/20220130/moldaviya-1770202975.html
2,"Sun, 30 Jan 2022 16:17:28 +0300",В Калининграде сильный ветер повалил деревья и повредил здания,https://ria.ru/20220130/shtorm-1770202616.html
3,"Sun, 30 Jan 2022 16:12:55 +0300",Кандидат в президенты Франции предложил провести встречу с участием России,https://ria.ru/20220130/frantsiya-1770202246.html
4,"Sun, 30 Jan 2022 16:07:09 +0300",В Саратове почти 45 процентов школ закроют на карантин,https://ria.ru/20220130/karantin-1770201381.html
5,"Sun, 30 Jan 2022 16:03:54 +0300",Британцы сравнили армии России и НАТО и решили не защищать Украину,https://ria.ru/20220130/nato-1770200663.html
6,"Sun, 30 Jan 2022 16:02:13 +0300",Власти Москвы опровергли слова о снятых трубках телефонов в поликлиниках,https://ria.ru/20220130/polikliniki-1770200507.html
7,"Sun, 30 Jan 2022 15:58:43 +0300",Премьер Израиля заявил о начале стабилизации ситуации с омикрон-штаммом,https://ria.ru/20220130/omikron-1770200222.html
8,"Sun, 30 Jan 2022 15:48:48 +0300","Ученый назвал причину быстрого распространения ""омикрона""",https://ria.ru/20220130/omikron-1770200050.html
9,"Sun, 30 Jan 2022 15:47:13 +0300",Похороны Леонида Куравлева состоятся во вторник,https://ria.ru/20220130/kuravlev-1770199700.html
10,"Sun, 30 Jan 2022 15:38:59 +0300","Эксперт назвал угрозы Лондона в адрес ""российских олигархов"" пиаром",https://ria.ru/20220130/oligarkhi-1770198456.html
11,"Sun, 30 Jan 2022 15:29:50 +0300","Отряды ""народного ополчения"" атаковали позиции курдов в сирийской Ракке",https://ria.ru/20220130/siriya-1770197668.html
12,"Sun, 30 Jan 2022 15:24:00 +0300",Москвичей предупредили о морозах до минус 15 градусов,https://ria.ru/20220130/morozy-1770197195.html
13,"Sun, 30 Jan 2022 15:19:18 +0300",Мэр Хабаровска рассказал о необходимых поправках в закон о животных,https://ria.ru/20220130/zhivotnye-1770196613.html
14,"Sun, 30 Jan 2022 15:18:41 +0300","Появилось видео первого полета легкого самолета ""Байкал""",https://ria.ru/20220130/baykal-1770196321.html
15,"Sun, 30 Jan 2022 15:13:50 +0300",После смерти женщины во время липосакции в Москве организовали проверку,https://ria.ru/20220130/roszdravnadzor-1770196096.html
16,"Sun, 30 Jan 2022 15:10:26 +0300","Афганская радиостанция ""Hareem Zan"" возобновила работу",https://ria.ru/20220130/afganistan-1770195933.html
17,"Sun, 30 Jan 2022 14:59:51 +0300","Циклон ""Надя"" принесет в Москву 25 процентов месячной нормы осадков",https://ria.ru/20220130/tsiklon-1770195353.html
18,"Sun, 30 Jan 2022 14:53:50 +0300",В Новосибирске нетрезвая автомобилистка сбила двух девочек на тротуаре,https://ria.ru/20220130/novosibirsk-1770195003.html
19,"Sun, 30 Jan 2022 14:51:07 +0300",Колпинский районный суд в Петербурге восстановил работу,https://ria.ru/20220130/snegopad-1770194805.html
20,"Sun, 30 Jan 2022 14:48:49 +0300",Министр обороны Канады прибыла на Украину,https://ria.ru/20220130/vizit-1770194456.html
21,"Sun, 30 Jan 2022 14:48:15 +0300","В Париже подозревают полицейского в убийстве женщины, сообщили СМИ",https://ria.ru/20220130/politseyskiy-1770194312.html
22,"Sun, 30 Jan 2022 14:45:20 +0300",В Казахстане задержали подозреваемого в погромах на кладбище в Уштобе,https://ria.ru/20220130/kazakhstan-1770193940.html
23,"Sun, 30 Jan 2022 14:41:22 +0300",При пожаре в доме в Кемеровской области погиб ребенок,https://ria.ru/20220130/pozhar-1770193769.html
24,"Sun, 30 Jan 2022 14:38:10 +0300","Гинцбург заявил о стопроцентной защите ""Спутника Лайт"" от ""омикрона""",https://ria.ru/20220130/omikron-1770193462.html
25,"Sun, 30 Jan 2022 14:32:25 +0300","Мяч в переговорах с Западом находится на стороне России, заявили в Лондоне",https://ria.ru/20220130/peregovory-1770193158.html
26,"Sun, 30 Jan 2022 14:29:35 +0300",Прокуратура проверит сообщение о высадке детей из маршрутки в Кузнецке,https://ria.ru/20220130/deti-1770192893.html
27,"Sun, 30 Jan 2022 14:27:08 +0300","Полный перевод школ на удаленку не планируется, заявил Кравцов",https://ria.ru/20220130/obuchenie-1770192784.html
28,"Sun, 30 Jan 2022 14:23:37 +0300",Кравцов рассказал о подготовке к президентским совещаниям,https://ria.ru/20220130/kravtsov-1770192506.html
29,"Sun, 30 Jan 2022 14:21:13 +0300",Эмир Абу-Даби провел встречу с президентом Израиля,https://ria.ru/20220130/oae-1770192342.html
30,"Sun, 30 Jan 2022 14:14:29 +0300",МИД Украины прокомментировал поручение Путина о соцвыплатах для Донбасса,https://ria.ru/20220130/sotsvyplaty-1770191707.html
31,"Sun, 30 Jan 2022 14:05:47 +0300",Талибы назначили нового генерального прокурора Афганистана,https://ria.ru/20220130/afganistan-1770190623.html
32,"Sun, 30 Jan 2022 13:44:35 +0300",Судьи из Колпино не смогли попасть на работу из-за неубранного снега,https://ria.ru/20220130/kolpino-1770189345.html
33,"Sun, 30 Jan 2022 13:41:58 +0300","Российский многоцелевой самолет ""Байкал"" совершил первый полет",https://ria.ru/20220130/samolet-1770189174.html
34,"Sun, 30 Jan 2022 13:39:21 +0300",Появилось видео с места падения школьницы с 22-го этажа в Москве,https://ria.ru/20220130/shkolnitsa-1770188875.html
35,"Sun, 30 Jan 2022 13:36:22 +0300",МИД Британии прокомментировал решение удвоить контингент в Эстонии,https://ria.ru/20220130/estoniya-1770188559.html
36,"Sun, 30 Jan 2022 13:35:41 +0300",Читатели WSJ обвинили США в разжигании войны на Украине,https://ria.ru/20220130/ukraina-1770188382.html
37,"Sun, 30 Jan 2022 13:33:06 +0300",Гинцбург призвал не считать омикрон-штамм финалом пандемии,https://ria.ru/20220130/omikron-1770187801.html
38,"Sun, 30 Jan 2022 13:28:41 +0300","Экономика Украины пострадала из-за паники вокруг эскалации, заявил Кулеба",https://ria.ru/20220130/ukraina-1770187511.html
39,"Sun, 30 Jan 2022 13:26:39 +0300",Израиль начал принимать анализы Invitro для въезда россиян,https://ria.ru/20220130/izrail-1770187214.html
40,"Sun, 30 Jan 2022 13:00:24 +0300",В ДТП в американском штате Невада погибли не менее девяти человек,https://ria.ru/20220130/nevada-1770185700.html
41,"Sun, 30 Jan 2022 12:51:51 +0300",Омбудсмен в Москве взяла под контроль ситуацию с выпавшей из окна девочкой,https://ria.ru/20220130/ombudsmen-1770185181.html
42,"Sun, 30 Jan 2022 12:48:23 +0300",Австралия не будет участвовать в возможном конфликте на Украине,https://ria.ru/20220130/avstraliya-1770184691.html
43,"Sun, 30 Jan 2022 12:47:29 +0300",Источник раскрыл подробности падения школьницы из окна 22-го этажа в Москве,https://ria.ru/20220130/proisshestvie-1770184459.html
44,"Sun, 30 Jan 2022 12:44:29 +0300",Пациентка московской клиники умерла во время пластической операции,https://ria.ru/20220130/operatsiya-1770184065.html
45,"Sun, 30 Jan 2022 12:42:15 +0300","""Как большая кошка"": американцы восхитились схваткой россиянина с медведем",https://ria.ru/20220130/medved-1770183865.html
46,"Sun, 30 Jan 2022 12:38:44 +0300",Протестующие в Канаде станцевали у Национального военного мемориала,https://ria.ru/20220130/kanada-1770183402.html
47,"Sun, 30 Jan 2022 12:32:29 +0300","Запад хочет затянуть Украину в НАТО, заявил Лавров",https://ria.ru/20220130/ukraina-1770182493.html
48,"Sun, 30 Jan 2022 12:23:06 +0300","Россия отправила в НАТО и ОБСЕ запрос о безопасности, заявил Лавров",https://ria.ru/20220130/bezopasnost-1770181721.html
49,"Sun, 30 Jan 2022 12:19:51 +0300","Россия будет добиваться от Запада гарантий безопасности в ЕС, заявил Лавров",https://ria.ru/20220130/bezopasnost-1770181496.html
50,"Sun, 30 Jan 2022 12:17:00 +0300",Умер Леонид Куравлев,https://ria.ru/20220130/kuravlev-1770181284.html
51,"Sun, 30 Jan 2022 12:09:44 +0300","Россия хочет добрых отношений с США, заявил Лавров",https://ria.ru/20220130/diplomatiya-1770180768.html
52,"Sun, 30 Jan 2022 12:04:09 +0300",В Британии готовят законопроект о санкциях против любых лиц в России,https://ria.ru/20220130/sanktsii-1770180391.html
53,"Sun, 30 Jan 2022 12:01:32 +0300",В Москве за сутки госпитализировали 1383 человека с коронавирусом,https://ria.ru/20220130/koronavirus-1770180087.html
54,"Sun, 30 Jan 2022 11:52:10 +0300",Омикрон-штамм выявили в 82 российских регионах,https://ria.ru/20220130/omikron-1770179372.html
55,"Sun, 30 Jan 2022 11:49:54 +0300",В России за сутки выписали 28 944 человек после лечения от COVID-19,https://ria.ru/20220130/koronavirus-1770179143.html
56,"Sun, 30 Jan 2022 11:47:55 +0300",В России за сутки госпитализировали 9883 человека с COVID-19,https://ria.ru/20220130/koronavirus-1770178815.html
57,"Sun, 30 Jan 2022 11:42:33 +0300",Глава МИД Британии не исключила никаких вариантов оказания помощи Украине,https://ria.ru/20220130/britaniya-1770178641.html
58,"Sun, 30 Jan 2022 11:39:16 +0300",СК организовал проверку после взрыва газа в Серпухове,https://ria.ru/20220130/vzryv-1770178367.html
59,"Sun, 30 Jan 2022 11:33:06 +0300","""Генерал-майор НАТО"" обманул россиянку на миллион рублей",https://ria.ru/20220130/obman-1770178236.html
60,"Sun, 30 Jan 2022 11:24:55 +0300",Прокуратура организовала проверку после взрыва газа в Серпухове,https://ria.ru/20220130/vzryv-1770177494.html
61,"Sun, 30 Jan 2022 11:21:24 +0300",В Крыму прошел снегопад,https://ria.ru/20220130/krym-1770177180.html
62,"Sun, 30 Jan 2022 11:18:14 +0300",Правительство одобрило распоряжение о развитии портов Феодосия и Азов,https://ria.ru/20220130/porty-1770177013.html
63,"Sun, 30 Jan 2022 11:15:15 +0300",В Дагестане задержали подозреваемого в двойном убийстве,https://ria.ru/20220130/ubiystvo-1770176881.html
64,"Sun, 30 Jan 2022 11:15:03 +0300",В Бенине во время столкновений с сектантами погибли восемь человек,https://ria.ru/20220130/benin-1770176688.html
65,"Sun, 30 Jan 2022 11:11:27 +0300",В Португалии начались досрочные парламентские выборы,https://ria.ru/20220130/portugaliya-1770176301.html
66,"Sun, 30 Jan 2022 11:03:27 +0300",TNI: переговоры по гарантиям безопасности зашли в тупик благодаря США,https://ria.ru/20220130/ukraina-1770175656.html
67,"Sun, 30 Jan 2022 10:50:59 +0300",Президент Израиля вылетел в ОАЭ с государственным визитом,https://ria.ru/20220130/izrail-1770175190.html
68,"Sun, 30 Jan 2022 10:46:50 +0300",В ДНР заявили о трех нарушениях перемирия за сутки со стороны ВСУ,https://ria.ru/20220130/donbass-1770174643.html
69,"Sun, 30 Jan 2022 10:44:21 +0300","Патрушев назвал утверждения о ""российской угрозе"" полной нелепостью",https://ria.ru/20220130/patrushev-1770174534.html
70,"Sun, 30 Jan 2022 10:40:51 +0300",В московских аэропортах задерживаются и отменяются рейсы,https://ria.ru/20220130/aeroporty-1770174247.html
71,"Sun, 30 Jan 2022 10:35:45 +0300",В ЛНР зафиксировали работу РЭБ украинских силовиков,https://ria.ru/20220130/donbass-1770174095.html
72,"Sun, 30 Jan 2022 10:31:08 +0300","Мясников рассказал, как избежать постковидного синдрома",https://ria.ru/20220130/koronavirus-1770173550.html
73,"Sun, 30 Jan 2022 10:21:50 +0300",США вновь призвали своих граждан покинуть Украину,https://ria.ru/20220130/ukraina-1770172939.html
74,"Sun, 30 Jan 2022 10:16:30 +0300",При взрыве газа в Серпухове пострадали три человека,https://ria.ru/20220130/vzryv-1770172674.html
